-1.0,6750,27900,0
0,-1.0,6333,17700
0,0,-1.0,16304
45300,0,0,-1.0
4875,23500,0,0
-1.0,-1.0,19900,0
0,-1.0,10500,25800
0,0,-1.0,-1.0
22900,0,0,-1.0
26250,66500,0,0
-1.0,-1.0,0.0,0
0.0,0.0,8000,22300
0,0,-1.0,-1.0
-1.0,0,0.0,-1.0
11222.5,48200,0,0
-1.0,-1.0,27800,0
0,-1.0,4500,29800
0,0,-1.0,28250
30500,0,0,-1.0
14358,15600,0,0
-1.0,-1.0,82600,0
0.0,-1.0,-1.0,18900
0,0,-1.0,28001
24800,0,0,-1.0
6523,20900,0,0
-1.0,4489,15300,0
0,-1.0,8500,21400
0,0,-1.0,6500
20700,1,0.0037,-1.0
-1.0,24700,0,0
-1.0,-1.0,21300,1
0.0405,-1.0,8745,14300
0,0,-1.0,8499
25800,0,0,-1.0
-1.0,27500,0,0
-1.0,8743,14600,0
0,-1.0,6625,-1.0
0,0,0.0,-1.0
-1.0,0,0,-1.0
6000,24000,1,0.0482
-1.0,39617,28100,0
0,-1.0,-1.0,28200
0,0.0184,-1.0,-1.0
0.0,0,0.0,-1.0
6000,22700,0,0
-1.0,9070,-1.0,0
0,-1.0,-1.0,23600
0,0,-1.0,6523
20900,0,0,-1.0
7866,18700,0,0
-1.0,6333,15200,0
0,-1.0,8749.5,16300
0,0,-1.0,8867
15300,0,0,-1.0
-1.0,0.0,0,0.0
-1.0,-1.0,24900,0
0,-1.0,11875,26400
0,0,-1.0,7804
